n,instance_idx,seed,due_model,due_range,due_tardiness,memo_mode,memo_cleaning,branch_rule,memo_capacity,best_sum_tardiness,time_ms,nodes,leaves,pruned_by_bound,pruned_by_memo_exact,pruned_by_memo_lb,memo_hits,memo_misses,memo_inserts,memo_updates,memo_evictions,memo_peak_size,memo_final_size,status,error
25,0,25001000,potts,0.6,0.6,solution,lufo,decomposition,15713294,592,2.6249,100,1,0,0,0,0,0,0,0,0,0,0,ok,
26,0,26001003,potts,0.6,0.6,solution,lufo,decomposition,15713294,1904,0.0327,108,1,0,0,0,0,0,0,0,0,0,0,ok,
27,0,27001006,potts,0.6,0.6,solution,lufo,decomposition,15713294,1591,0.0312,106,1,0,0,0,0,0,0,0,0,0,0,ok,
28,0,28001009,potts,0.6,0.6,solution,lufo,decomposition,15713294,1100,0.0383,114,1,0,0,0,0,0,0,0,0,0,0,ok,
29,0,29001012,potts,0.6,0.6,solution,lufo,decomposition,15713294,1295,0.0403,122,1,0,0,0,0,0,0,0,0,0,0,ok,
30,0,30001015,potts,0.6,0.6,solution,lufo,decomposition,15713294,2150,0.0426,118,1,0,0,0,0,0,0,0,0,0,0,ok,
31,0,31001018,potts,0.6,0.6,solution,lufo,decomposition,15713294,1288,0.0388,136,1,0,0,0,0,0,0,0,0,0,0,ok,
32,0,32001021,potts,0.6,0.6,solution,lufo,decomposition,15713294,2412,0.0368,126,1,0,0,0,0,0,0,0,0,0,0,ok,
33,0,33001024,potts,0.6,0.6,solution,lufo,decomposition,15713294,2600,0.0381,130,1,0,0,0,0,0,0,0,0,0,0,ok,
34,0,34001027,potts,0.6,0.6,solution,lufo,decomposition,15713294,2647,0.0469,148,1,0,0,0,0,0,0,0,0,0,0,ok,
35,0,35001030,potts,0.6,0.6,solution,lufo,decomposition,15713294,2152,0.058,150,1,0,0,0,0,0,0,0,0,0,0,ok,
36,0,36001033,potts,0.6,0.6,solution,lufo,decomposition,15713294,1782,0.0596,156,1,0,0,0,0,0,0,0,0,0,0,ok,
37,0,37001036,potts,0.6,0.6,solution,lufo,decomposition,15713294,4112,0.0606,164,1,0,0,0,0,0,0,0,0,0,0,ok,
38,0,38001039,potts,0.6,0.6,solution,lufo,decomposition,15713294,1960,0.0618,160,1,0,0,0,0,0,0,0,0,0,0,ok,
39,0,39001042,potts,0.6,0.6,solution,lufo,decomposition,15713294,3104,0.0652,164,1,0,0,0,0,0,0,0,0,0,0,ok,
40,0,40001045,potts,0.6,0.6,solution,lufo,decomposition,15713294,2463,0.0706,174,1,0,0,0,0,0,0,0,0,0,0,ok,
41,0,41001048,potts,0.6,0.6,solution,lufo,decomposition,15713294,3631,0.0707,170,1,0,0,0,0,0,0,0,0,0,0,ok,
42,0,42001051,potts,0.6,0.6,solution,lufo,decomposition,15713294,4608,0.0777,182,1,0,0,0,0,0,0,0,0,0,0,ok,
43,0,43001054,potts,0.6,0.6,solution,lufo,decomposition,15713294,3504,0.0814,178,1,0,0,0,0,0,0,0,0,0,0,ok,
44,0,44001057,potts,0.6,0.6,solution,lufo,decomposition,15713294,4995,0.0781,168,1,0,0,0,0,0,0,0,0,0,0,ok,
45,0,45001060,potts,0.6,0.6,solution,lufo,decomposition,15713294,3428,0.0862,200,1,0,0,0,0,0,0,0,0,0,0,ok,
46,0,46001063,potts,0.6,0.6,solution,lufo,decomposition,15713294,3766,0.0918,202,1,0,0,0,0,0,0,0,0,0,0,ok,
47,0,47001066,potts,0.6,0.6,solution,lufo,decomposition,15713294,4260,0.0855,180,1,0,0,0,0,0,0,0,0,0,0,ok,
48,0,48001069,potts,0.6,0.6,solution,lufo,decomposition,15713294,5604,0.0927,198,1,0,0,0,0,0,0,0,0,0,0,ok,
49,0,49001072,potts,0.6,0.6,solution,lufo,decomposition,15713294,5007,0.1123,224,1,0,0,0,0,0,0,0,0,0,0,ok,
50,0,50001075,potts,0.6,0.6,solution,lufo,decomposition,15713294,4186,0.1048,206,1,0,0,0,0,0,0,0,0,0,0,ok,
51,0,51001078,potts,0.6,0.6,solution,lufo,decomposition,15713294,3493,0.1176,218,1,0,0,0,0,0,0,0,0,0,0,ok,
52,0,52001081,potts,0.6,0.6,solution,lufo,decomposition,15713294,6218,0.1408,220,1,0,0,0,0,0,0,0,0,0,0,ok,
53,0,53001084,potts,0.6,0.6,solution,lufo,decomposition,15713294,3296,0.1208,208,1,0,0,0,0,0,0,0,0,0,0,ok,
54,0,54001087,potts,0.6,0.6,solution,lufo,decomposition,15713294,4836,0.1388,238,1,0,0,0,0,0,0,0,0,0,0,ok,
55,0,55001090,potts,0.6,0.6,solution,lufo,decomposition,15713294,6566,0.1242,238,1,0,0,0,0,0,0,0,0,0,0,ok,
56,0,56001093,potts,0.6,0.6,solution,lufo,decomposition,15713294,3786,0.1216,230,1,0,0,0,0,0,0,0,0,0,0,ok,
57,0,57001096,potts,0.6,0.6,solution,lufo,decomposition,15713294,5173,0.1433,252,1,0,0,0,0,0,0,0,0,0,0,ok,
58,0,58001099,potts,0.6,0.6,solution,lufo,decomposition,15713294,5312,0.1275,242,1,0,0,0,0,0,0,0,0,0,0,ok,
59,0,59001102,potts,0.6,0.6,solution,lufo,decomposition,15713294,6906,0.1439,244,1,0,0,0,0,0,0,0,0,0,0,ok,
60,0,60001105,potts,0.6,0.6,solution,lufo,decomposition,15713294,6867,0.1566,256,1,0,0,0,0,0,0,0,0,0,0,ok,
61,0,61001108,potts,0.6,0.6,solution,lufo,decomposition,15713294,6486,0.1774,278,1,0,0,0,0,0,0,0,0,0,0,ok,
62,0,62001111,potts,0.6,0.6,solution,lufo,decomposition,15713294,6725,0.1772,272,1,0,0,0,0,0,0,0,0,0,0,ok,
63,0,63001114,potts,0.6,0.6,solution,lufo,decomposition,15713294,7668,0.1786,266,1,0,0,0,0,0,0,0,0,0,0,ok,
64,0,64001117,potts,0.6,0.6,solution,lufo,decomposition,15713294,6824,0.171,274,1,0,0,0,0,0,0,0,0,0,0,ok,
65,0,65001120,potts,0.6,0.6,solution,lufo,decomposition,15339168,11142,0.1869,286,1,0,0,0,0,0,0,0,0,0,0,ok,
66,0,66001123,potts,0.6,0.6,solution,lufo,decomposition,15339168,6725,0.1995,300,1,0,0,0,0,0,0,0,0,0,0,ok,
67,0,67001126,potts,0.6,0.6,solution,lufo,decomposition,15339168,8440,0.1944,288,1,0,0,0,0,0,0,0,0,0,0,ok,
68,0,68001129,potts,0.6,0.6,solution,lufo,decomposition,15339168,7068,0.2183,308,1,0,0,0,0,0,0,0,0,0,0,ok,
69,0,69001132,potts,0.6,0.6,solution,lufo,decomposition,15339168,9166,0.2136,288,1,0,0,0,0,0,0,0,0,0,0,ok,
70,0,70001135,potts,0.6,0.6,solution,lufo,decomposition,15339168,5725,0.2182,306,1,0,0,0,0,0,0,0,0,0,0,ok,
71,0,71001138,potts,0.6,0.6,solution,lufo,decomposition,15339168,6375,0.2136,306,1,0,0,0,0,0,0,0,0,0,0,ok,
72,0,72001141,potts,0.6,0.6,solution,lufo,decomposition,15339168,9820,0.2158,300,1,0,0,0,0,0,0,0,0,0,0,ok,
73,0,73001144,potts,0.6,0.6,solution,lufo,decomposition,15339168,6817,0.2479,320,1,0,0,0,0,0,0,0,0,0,0,ok,
74,0,74001147,potts,0.6,0.6,solution,lufo,decomposition,15339168,11829,0.2245,314,1,0,0,0,0,0,0,0,0,0,0,ok,
75,0,75001150,potts,0.6,0.6,solution,lufo,decomposition,15339168,9714,0.2573,330,1,0,0,0,0,0,0,0,0,0,0,ok,
76,0,76001153,potts,0.6,0.6,solution,lufo,decomposition,15339168,7641,0.237,328,1,0,0,0,0,0,0,0,0,0,0,ok,
77,0,77001156,potts,0.6,0.6,solution,lufo,decomposition,15339168,11137,0.2319,334,1,0,0,0,0,0,0,0,0,0,0,ok,
78,0,78001159,potts,0.6,0.6,solution,lufo,decomposition,15339168,13227,0.2513,348,1,0,0,0,0,0,0,0,0,0,0,ok,
79,0,79001162,potts,0.6,0.6,solution,lufo,decomposition,15339168,14888,0.2453,344,1,0,0,0,0,0,0,0,0,0,0,ok,
80,0,80001165,potts,0.6,0.6,solution,lufo,decomposition,15339168,10741,0.269,364,1,0,0,0,0,0,0,0,0,0,0,ok,
81,0,81001168,potts,0.6,0.6,solution,lufo,decomposition,15339168,9695,0.2683,364,1,0,0,0,0,0,0,0,0,0,0,ok,
82,0,82001171,potts,0.6,0.6,solution,lufo,decomposition,15339168,12179,0.3067,374,1,0,0,0,0,0,0,0,0,0,0,ok,
83,0,83001174,potts,0.6,0.6,solution,lufo,decomposition,15339168,14051,0.2781,350,1,0,0,0,0,0,0,0,0,0,0,ok,
84,0,84001177,potts,0.6,0.6,solution,lufo,decomposition,15339168,11530,0.3483,386,1,0,0,0,0,0,0,0,0,0,0,ok,
